# property_id	description	evidence_class	command	evidence_id	required_fields	predicate
full_q240	Exact full q240 transfer	HOST_EXEC	make -C host test-p4-audio86-physical-sink	marker:5D1_FULL_Q240	semantic_frames|semantic_bytes|physical_bytes|consume_calls	host_validator
partial_matrix	Final partial padding matrix	HOST_EXEC	make -C host test-p4-audio86-physical-sink	marker:5D1_FINAL_PARTIAL	frames|semantic_bytes|physical_bytes|padding_frames|padding_zero|digest_excludes_padding	host_validator
partial_progress	Partial low-level progress fails closed	HOST_EXEC	make -C host test-p4-audio86-physical-sink	marker:5D1_PARTIAL_PROGRESS	bytes|ring_consumed|rollback	host_validator
queue_overflow_policy	Queue overflow state policy	HOST_EXEC	make -C host test-p4-audio86-physical-sink	marker:5D1_QUEUE_OVF	running|draining|stale	host_validator
short_eos	Short EOS drain	HOST_EXEC	make -C host test-p4-audio86-physical-sink	short_eos	preload_units|enable_calls|physical_units|semantic_frames|drain_eofs|deadlock	host_validator
retry_before_arm	EOF before retry arm	HOST_EXEC	make -C host test-p4-audio86-physical-sink	retry_before_arm	epoch_before|epoch_after|callbacks|notification_only_ready|tail_held|accepted_once	host_validator
retry_during_arm	EOF during retry arm	HOST_EXEC	make -C host test-p4-audio86-physical-sink	retry_during_arm	epoch_before|epoch_after|callbacks|notification_only_ready|tail_held|accepted_once	host_validator
retry_coalesced	Coalesced retry callbacks	HOST_EXEC	make -C host test-p4-audio86-physical-sink	retry_coalesced	epoch_before|epoch_after|callbacks|notification_only_ready|tail_held|accepted_once	host_validator
finish_eof_0	Finish zero EOF	HOST_EXEC	make -C host test-p4-audio86-physical-sink	finish_eof_0	eof_snapshot|eof_current|finish|sticky	host_validator
finish_eof_1	Finish one EOF	HOST_EXEC	make -C host test-p4-audio86-physical-sink	finish_eof_1	eof_snapshot|eof_current|finish|sticky	host_validator
finish_eof_2	Finish two EOF	HOST_EXEC	make -C host test-p4-audio86-physical-sink	finish_eof_2	eof_snapshot|eof_current|finish|sticky	host_validator
finish_eof_3	Finish three EOF	HOST_EXEC	make -C host test-p4-audio86-physical-sink	finish_eof_3	eof_snapshot|eof_current|finish|sticky	host_validator
finish_eof_4	Finish four EOF	HOST_EXEC	make -C host test-p4-audio86-physical-sink	finish_eof_4	eof_snapshot|eof_current|finish|sticky	host_validator
finish_wrong_generation	Wrong generation lacks drain credit	HOST_EXEC	make -C host test-p4-audio86-physical-sink	finish_wrong_generation	eof_current|finish|stale	host_validator
finish_sticky_error	Sticky error blocks finish	HOST_EXEC	make -C host test-p4-audio86-physical-sink	finish_sticky_error	eof_current|finish|sticky	host_validator
callback_before_disarm	Entered callback lifetime	HOST_EXEC	make -C host test-p4-audio86-physical-sink	callback_entry_before_disarm	dispatch_state|in_flight_peak|in_flight_final|target_accessed|reclaim_allowed	host_validator
callback_after_disarm	Inactive callback denied	HOST_EXEC	make -C host test-p4-audio86-physical-sink	callback_entry_after_disarm	dispatch_state|in_flight_peak|target_accessed|stale_callback_count	host_validator
callback_zero_observation	Dispatched-not-entered barrier	HOST_EXEC	make -C host test-p4-audio86-physical-sink	callback_zero_observation	dispatch_state|delete_started|delete_returned|delete_returned_while_pending|in_flight_before|in_flight_peak|in_flight_final|reclaim_allowed	host_validator
callback_inflight	In-flight callback prevents reclaim	HOST_EXEC	make -C host test-p4-audio86-physical-sink	callback_inflight_teardown	in_flight_before|in_flight_final|reclaim_allowed|timeout	host_validator
callback_stale	Stale callback lacks target	HOST_EXEC	make -C host test-p4-audio86-physical-sink	callback_stale_after_abort	target_accessed|eof_epoch_before|eof_epoch_after|stale_callback_count	host_validator
callback_timeout	Quiescence timeout fails closed	HOST_EXEC	make -C host test-p4-audio86-physical-sink	callback_quiescence_timeout	in_flight_final|reclaim_allowed|timeout	host_validator
callback_control_faults	Eight control faults rejected	HOST_EXEC	make -C host test-p4-audio86-physical-sink	marker:5D1_CONTROL_FAULTS	rejected|total	host_validator
healthy_stop	Healthy STOP terminal	HOST_EXEC	make -C host test-p4-audio86-physical-sink	healthy_stop	first_error|forced_abort|finish_accepted|quiescent	host_validator
healthy_primary	Primary fatal healthy drain	HOST_EXEC	make -C host test-p4-audio86-physical-sink	healthy_primary_fatal	first_error|forced_abort|finish_accepted|quiescent	host_validator
physical_fatal	Physical fatal forced abort	HOST_EXEC	make -C host test-p4-audio86-physical-sink	physical_fatal	first_error|forced_abort|semantic_a|k|p|r|discarded_a|pending_a	host_validator
dual_primary_physical	Primary then physical	HOST_EXEC	make -C host test-p4-audio86-physical-sink	dual_primary_then_physical	first_error|forced_abort|finish_accepted	host_validator
dual_physical_primary	Physical then primary	HOST_EXEC	make -C host test-p4-audio86-physical-sink	dual_physical_then_primary	first_error|forced_abort|finish_accepted	host_validator
backend_rollback_early	Host early rollback	HOST_EXEC	make -C host test-p4-audio86-physical-sink	start_backend_rollback_1	start_fatal|callback_in_flight|residual_before|residual_after|release_calls	host_validator
backend_rollback_i2s	Host I2S rollback	HOST_EXEC	make -C host test-p4-audio86-physical-sink	start_backend_rollback_2	start_fatal|callback_in_flight|residual_before|residual_after|release_calls	host_validator
backend_rollback_callback	Host callback rollback	HOST_EXEC	make -C host test-p4-audio86-physical-sink	start_backend_rollback_3	start_fatal|callback_in_flight|residual_before|residual_after|release_calls	host_validator
backend_rollback_codec	Host codec rollback	HOST_EXEC	make -C host test-p4-audio86-physical-sink	start_backend_rollback_4	start_fatal|callback_in_flight|residual_before|residual_after|release_calls	host_validator
start_fatal_early	Real FreeRTOS early failure	ESP_EMU_EXEC	tools/emu/test-p4-audio86-physical-lifecycle.sh	start_fatal_1	ready_wait|forced_abort|first_error|terminal_ack|consumer_quiescent|terminal_wait|owner_suspended|delete_performed|sink_destroy_performed|resource_residual	lifecycle_validator
start_fatal_i2s	Real FreeRTOS post-I2S failure	ESP_EMU_EXEC	tools/emu/test-p4-audio86-physical-lifecycle.sh	start_fatal_2	ready_wait|forced_abort|first_error|terminal_ack|consumer_quiescent|terminal_wait|owner_suspended|delete_performed|sink_destroy_performed|resource_residual	lifecycle_validator
start_fatal_callback	Real FreeRTOS post-callback failure	ESP_EMU_EXEC	tools/emu/test-p4-audio86-physical-lifecycle.sh	start_fatal_3	ready_wait|forced_abort|first_error|terminal_ack|consumer_quiescent|terminal_wait|owner_suspended|delete_performed|sink_destroy_performed|callback_residual|resource_residual	lifecycle_validator
start_fatal_codec	Real FreeRTOS post-codec failure	ESP_EMU_EXEC	tools/emu/test-p4-audio86-physical-lifecycle.sh	start_fatal_4	ready_wait|forced_abort|first_error|terminal_ack|consumer_quiescent|terminal_wait|owner_suspended|delete_performed|sink_destroy_performed|pa_high|i2c_residual|resource_residual	lifecycle_validator
idf_delete_barrier	ESP-IDF 5.5.4 callback barrier	STATIC_IDF_SOURCE	tools/emu/check_p4_audio86_callback_idf_barrier.py	idf_delete_barrier	version|i2s_del_channel|gdma_del_channel|esp_intr_free|blocking_ipc	source_checker
callback_entry_first	Callback owns gate before target	STATIC_PROJECT_SOURCE	tools/emu/check_p4_audio86_project_source.py	callback_entry_first	atomic_in_flight_before_target	source_checker
callback_object_graph	Embedded gate target graph	STATIC_PROJECT_SOURCE	tools/emu/check_p4_audio86_project_source.py	callback_object_graph	gate_embedded|target_atomic	source_checker
callback_no_reuse	Gate has one sink lifetime	STATIC_PROJECT_SOURCE	tools/emu/check_p4_audio86_project_source.py	callback_no_reuse	initial_only_start	source_checker
start_epilogue	Start fatal terminal epilogue	STATIC_PROJECT_SOURCE	tools/emu/check_p4_audio86_project_source.py	start_epilogue	ack|quiescent|done|suspend	source_checker
start_no_self_delete	Start fatal never self deletes	STATIC_PROJECT_SOURCE	tools/emu/check_p4_audio86_project_source.py	start_no_self_delete	vTaskSuspend	source_checker
owner_cleanup_guards	Owner cleanup guards	STATIC_PROJECT_SOURCE	tools/emu/check_p4_audio86_project_source.py	owner_cleanup_guards	terminal|quiescent|ack|wait_task_suspended	source_checker
owner_delete_order	Delete follows suspension	STATIC_PROJECT_SOURCE	tools/emu/check_p4_audio86_project_source.py	owner_delete_order	suspended_before_delete	source_checker
owner_destroy_order	Destroy follows suspension	STATIC_PROJECT_SOURCE	tools/emu/check_p4_audio86_project_source.py	owner_destroy_order	suspended_before_destroy	source_checker
production_projection	Production guest binding unchanged	STATIC_PROJECT_SOURCE	tools/emu/check_p4_audio86_project_source.py	production_projection	baseline|test_guard_false	source_checker
profile_isolation	Fake profile is esp-emu only	BUILD	tools/emu/build-production.sh	profile_isolation	p4_v3x|generic|esp_emu	exit_zero
build_matrix	Twelve profiles build	BUILD	tools/emu/test-p4-audio86-physical-build-matrix.sh	build_matrix	profiles	exit_zero
public_sink_unchanged	Public sink contract unchanged	INTEGRITY	git diff --quiet	public_sink_unchanged	path	diff_empty
a2_ring_unchanged	A2 ring unchanged	INTEGRITY	git diff --quiet	a2_ring_unchanged	path	diff_empty
pcm_goldens_unchanged	PCM goldens unchanged	INTEGRITY	git diff --quiet	pcm_goldens_unchanged	path	diff_empty
vendor_snapshot	Vendor snapshot verified	INTEGRITY	python3 tools/np2kai/verify_np2kai.py	vendor_snapshot	files	exit_zero
privacy	Privacy lint	INTEGRITY	python3 tools/privacy_lint.py --tracked	privacy	tracked_files	exit_zero
diff_check	Patch whitespace check	INTEGRITY	git diff --check	diff_check	patch	exit_zero
atomic8_absent	Atomic8 absent	INTEGRITY	rg atomic8	atomic8_absent	paths	absent
